future_bin,context_bin,future_low,future_high,context_low,context_high,count,mean_key_distance,mean_key_similarity
3,7,0.20766645993650434,0.25932322378806477,0.7723527872807162,0.94121432420032,389,0.07123456280255147,0.9287654371974485
3,8,0.20766645993650434,0.25932322378806477,0.94121432420032,2.068084674749669,404,0.10875025403188167,0.8912497459681183
4,1,0.25932322378806477,0.3175129941348837,0.05267574441842732,0.29680335402970087,384,0.04105231991572318,0.9589476800842768
4,2,0.25932322378806477,0.3175129941348837,0.29680335402970087,0.3849656715461956,328,0.04650012304210627,0.9534998769578937
4,3,0.25932322378806477,0.3175129941348837,0.3849656715461956,0.46373145529099874,324,0.05174437151317146,0.9482556284868285
4,4,0.25932322378806477,0.3175129941348837,0.46373145529099874,0.5495643971468022,330,0.05930741771042753,0.9406925822895724
4,5,0.25932322378806477,0.3175129941348837,0.5495643971468022,0.6506163746059588,341,0.06556636948766466,0.9344336305123353
4,6,0.25932322378806477,0.3175129941348837,0.6506163746059588,0.7723527872807162,349,0.07557390103999623,0.9244260989600037
4,7,0.25932322378806477,0.3175129941348837,0.7723527872807162,0.94121432420032,362,0.08573600722111403,0.9142639927788859
4,8,0.25932322378806477,0.3175129941348837,0.94121432420032,2.068084674749669,381,0.11458725483223203,0.885412745167768
5,1,0.3175129941348837,0.3969865101053317,0.05267574441842732,0.29680335402970087,405,0.06083636064496557,0.9391636393550344
5,2,0.3175129941348837,0.3969865101053317,0.29680335402970087,0.3849656715461956,391,0.06052430293009293,0.9394756970699071
5,3,0.3175129941348837,0.3969865101053317,0.3849656715461956,0.46373145529099874,359,0.0715278334881484,0.9284721665118516
5,4,0.3175129941348837,0.3969865101053317,0.46373145529099874,0.5495643971468022,340,0.07864421763079063,0.9213557823692093
5,5,0.3175129941348837,0.3969865101053317,0.5495643971468022,0.6506163746059588,349,0.07058125206698744,0.9294187479330126
5,6,0.3175129941348837,0.3969865101053317,0.6506163746059588,0.7723527872807162,329,0.07998663791219672,0.9200133620878033
5,7,0.3175129941348837,0.3969865101053317,0.7723527872807162,0.94121432420032,333,0.0972897545704332,0.9027102454295668
5,8,0.3175129941348837,0.3969865101053317,0.94121432420032,2.068084674749669,294,0.1283231019333394,0.8716768980666606
6,1,0.3969865101053317,0.5216743511715758,0.05267574441842732,0.29680335402970087,410,0.06657401416028315,0.9334259858397168
6,2,0.3969865101053317,0.5216743511715758,0.29680335402970087,0.3849656715461956,397,0.06697984876221129,0.9330201512377887
6,3,0.3969865101053317,0.5216743511715758,0.3849656715461956,0.46373145529099874,388,0.07187045371362362,0.9281295462863763
6,4,0.3969865101053317,0.5216743511715758,0.46373145529099874,0.5495643971468022,346,0.07515602328456515,0.9248439767154348
6,5,0.3969865101053317,0.5216743511715758,0.5495643971468022,0.6506163746059588,342,0.08268991481652997,0.91731008518347
6,6,0.3969865101053317,0.5216743511715758,0.6506163746059588,0.7723527872807162,332,0.09223361810337764,0.9077663818966224
6,7,0.3969865101053317,0.5216743511715758,0.7723527872807162,0.94121432420032,306,0.11310909247876429,0.8868909075212357
6,8,0.3969865101053317,0.5216743511715758,0.94121432420032,2.068084674749669,279,0.14053107990902994,0.8594689200909701
7,1,0.5216743511715758,0.780449091539773,0.05267574441842732,0.29680335402970087,418,0.0668921413979268,0.9331078586020732
7,2,0.5216743511715758,0.780449091539773,0.29680335402970087,0.3849656715461956,412,0.06370338367239543,0.9362966163276045
7,3,0.5216743511715758,0.780449091539773,0.3849656715461956,0.46373145529099874,392,0.07215667558280342,0.9278433244171966
7,4,0.5216743511715758,0.780449091539773,0.46373145529099874,0.5495643971468022,413,0.07770887198100826,0.9222911280189917
7,5,0.5216743511715758,0.780449091539773,0.5495643971468022,0.6506163746059588,332,0.08171991678888044,0.9182800832111195
7,6,0.5216743511715758,0.780449091539773,0.6506163746059588,0.7723527872807162,286,0.10132849339910541,0.8986715066008946
7,7,0.5216743511715758,0.780449091539773,0.7723527872807162,0.94121432420032,316,0.1272190234528817,0.8727809765471183
7,8,0.5216743511715758,0.780449091539773,0.94121432420032,2.068084674749669,231,0.15475125912581716,0.8452487408741829
8,1,0.780449091539773,9.94215856477271,0.05267574441842732,0.29680335402970087,293,0.07057858795989572,0.9294214120401043
8,2,0.780449091539773,9.94215856477271,0.29680335402970087,0.3849656715461956,377,0.08198338706491207,0.918016612935088
8,3,0.780449091539773,9.94215856477271,0.3849656715461956,0.46373145529099874,395,0.08114849332689388,0.9188515066731061
8,4,0.780449091539773,9.94215856477271,0.46373145529099874,0.5495643971468022,373,0.10085434370063975,0.8991456562993603
8,5,0.780449091539773,9.94215856477271,0.5495643971468022,0.6506163746059588,404,0.10488668661586246,0.8951133133841376
8,6,0.780449091539773,9.94215856477271,0.6506163746059588,0.7723527872807162,372,0.11733941670921658,0.8826605832907835
8,7,0.780449091539773,9.94215856477271,0.7723527872807162,0.94121432420032,314,0.14579518394004393,0.854204816059956
8,8,0.780449091539773,9.94215856477271,0.94121432420032,2.068084674749669,272,0.17280398413182294,0.827196015868177
