node,gate_mean,gate_std,deviation_mean,deviation_std,error_mean,error_std
48,0.5007928780569647,0.0029871423077910664,0.3618629179818787,0.2870477938945126,8.506354185786561,14.739242678658353
49,0.5022248829368258,0.002545091323443927,0.3677391214527353,0.35909354654718756,11.240226593435246,20.0342446962212
50,0.5018111091547639,0.002744995965530392,0.3132147732007243,0.31554474861315357,8.781428609973323,17.580584193624595
51,0.5020665347837183,0.0030575963086222836,0.3840370101998322,0.3047832114425339,11.066866071311226,16.117869085663536
52,0.5024675058796458,0.003529213903145327,0.3711130490007192,0.28144494802346354,9.587606319998303,17.095239359779104
53,0.5012495572027499,0.0024029815036762975,0.3215708998955079,0.25414159293010197,8.021366557170005,14.17065002875491
54,0.5018349250215683,0.0023685872964803504,0.29871146990870034,0.2439675056806243,8.544189373733353,17.078499015435998
55,0.5019992917471559,0.001946788013108028,0.28767959028699974,0.2918485865348971,8.518679072665472,18.06302215648624
56,0.5027442225052492,0.004101003232297814,0.817949382575759,0.7228264208805698,18.693661824316873,17.111716707300655
57,0.5013884400973355,0.002177056465729078,0.2796981925511882,0.23387995928206454,7.621291790112962,16.476625209075173
58,0.5014798856303639,0.002651618678673962,0.32829238677111855,0.2444863909851527,9.071600529190398,16.856190393992215
59,0.5023260237874776,0.003162569055559439,0.29590688121144787,0.2572281763786204,8.307115542279544,17.333143939398795
60,0.5029254688137639,0.0033755663279411,0.6958589263641051,0.6927707764263029,18.052864417124837,22.04410598055583
61,0.5015081809733036,0.0038026019230303944,0.4614883535360768,0.33106809932105297,11.2658543203869,17.93308893987471
62,0.5006889589163509,0.0038987969385213183,0.46706060208543376,0.41904887695202103,13.039926382190119,18.715883965371383
63,0.5030924123917183,0.003455434395260135,0.7343214871500531,0.731687991323199,21.595414255065638,26.227490926326503
64,0.5014208284085685,0.003236092063024289,0.30486067560032337,0.28513515857127425,8.127211924573801,18.0694234737695
65,0.5015937842765864,0.002340120300087248,0.3193356006858993,0.24406812727954244,8.989488175663634,17.401906163071118
66,0.502842242421895,0.00209014150253311,0.3403563592555749,0.41214521914067287,10.229265539002245,20.892984812473138
67,0.5014675908541157,0.002150656233622387,0.3073784881264624,0.32307246356089503,8.504137382716157,18.782515963748725
68,0.501504524693872,0.002507010915726864,0.3316175307844677,0.28257561129808817,8.45748607739915,18.161281016403198
69,0.5016651541299193,0.003216237212188564,0.38258001322728874,0.32023812844226784,10.227196237431826,18.370929850651148
70,0.5039137116661907,0.0036232063854638847,0.7836377183320749,0.9417005436196135,20.04641346402412,26.720292532275813
71,0.5018176065744274,0.003220951435153348,0.8092658582656053,0.9142623859973417,21.525321482272044,28.20459888811324
72,0.5001043746419197,0.0026301301580683107,0.39806351211819335,0.26123480279807526,10.54078279975557,17.08691350644635
73,0.5018302692984142,0.002864387189910807,0.3502604463152642,0.23934911231863512,9.170614749010461,15.61361851068151
74,0.5021116725893786,0.0023518992490417674,0.29434712724093975,0.294831188318224,8.292506460482187,18.83277525137118
75,0.5010180725842497,0.0028893532488234075,0.3659846673525163,0.30459033959746895,8.211827351194229,14.086975861023605
76,0.4998814047166031,0.0034835935465646335,0.3967996148775964,0.26870448157358323,9.512421190582053,15.119598964822636
77,0.5029215289902513,0.0035570317696984118,0.48180292438416583,0.5165126324238657,12.270708949931347,19.593044742259185
78,0.5017872465439956,0.002409282367012786,0.31575030395584386,0.2961111431710193,8.530142449984586,18.334918232028784
79,0.5010498016507086,0.0024367118001717048,0.29987171339292595,0.295421607386042,8.083737179832736,18.551659544866215
80,0.5018217862261473,0.002927224846205747,0.31470462297436097,0.2501597210883232,9.17620475640262,17.81919421486275
81,0.5028224058394885,0.0035785265708228554,0.6848475577317885,0.662901196208212,19.6148809931052,23.744939181180335
82,0.5034654924817329,0.0038786770550344645,0.8704761554986021,0.7965059345271269,21.325001986705473,24.23571346867218
83,0.5020785121326029,0.002901292821398039,0.41269342261509306,0.46660170209867524,12.234714850683282,21.779600710348728
84,0.50081034750834,0.0031970519357964796,0.32814383485456455,0.2826009069306888,7.719875393192264,14.868077421880978
85,0.5012720893769369,0.002369677013997656,0.2991536648256065,0.3011896238515204,8.03073923079637,18.58527420029868
86,0.5015292267729766,0.00286651961155808,0.32279264386552964,0.24713527736063473,9.45546095214621,17.313889799938085
87,0.5019257426783986,0.0034218620224471846,0.361249167301359,0.26961030087256266,9.867520230912815,17.556183248184134
88,0.5018964722208733,0.0036104768112883924,0.3257126701922312,0.30552563927294757,7.755017178041221,17.48565964896933
89,0.5018986003764354,0.003196455722322708,0.30540298368373925,0.2865041765690302,8.392144750713433,18.201204497219535
90,0.5028193112185402,0.0021118662842004306,0.30351853929296896,0.3346473871441042,8.756117172519655,19.370573797388953
91,0.501883116673379,0.002460996103174478,0.3492106675057516,0.3220616572006874,7.110221808008904,12.003055537501751
92,0.5016550974428219,0.0019742569641022136,0.30220088521929556,0.34706112515245713,8.930148109484763,20.03860138706498
93,0.5016391743360644,0.002694802041752916,0.29478637905886573,0.2664916472062485,8.467406532398975,17.933158893410578
94,0.502270366049161,0.002301682714059778,0.2793484611667856,0.24227745395581585,8.030374004753837,17.31945632782482
95,0.5015877647295486,0.003220769881750056,0.44123279944823607,0.3614132226786024,11.597220531797758,19.13427860963942
96,0.5020331029126244,0.003847973432980024,0.5599473518307192,0.5817512122080242,14.728630531478101,22.736171286365987
97,0.5021828413531728,0.0024434990407487664,0.29614423870170203,0.28270930468754113,8.354416582897631,18.487468796883896
98,0.5014101915115857,0.0025127032891561684,0.31858213053132495,0.2481214027368629,8.06542990120658,15.943044704341155
99,0.5019055926364704,0.001877349565052284,0.27828656316673667,0.280977496079122,7.744274232056889,18.73654615321792
100,0.5017771687994909,0.003522637824490112,0.3776096052627494,0.2649088678596624,9.693451582045451,16.238938228145006
101,0.5023970789630918,0.0035798632532812397,0.3848689957300242,0.3437008406105809,11.377535374704069,19.194269198278672
102,0.5014525562655316,0.003168142048384513,0.3809768001180496,0.4656449706622531,9.661622670131878,18.190548800673525
103,0.5017369008238298,0.0026992767677869725,0.3154621836825879,0.2637341720458852,8.577852188792543,17.528887380816546
104,0.5015571965614375,0.003601131370812505,0.3185370940666129,0.29057745699432863,8.637940124838892,17.784145128892114
105,0.5021032898269431,0.0021415052682020007,0.4040158480884385,0.5281946640905132,11.651017144335448,22.67216475556116
